Fabricante,Modelo,Ano,Categoria,Couro,Combustivel,Volume_motor,Km,Cilindros,Tipo_cambio,Tracao,Portas,Rodas,Cor,Airbags,Preco,Numero_proprietarios
LEXUS,RX 450,2010,SUV,Sim,Hibrido,3.5,186005,6,Automatico,4x4,45,23,Prata,12,13328,1
CHEVROLET,Equinox,2011,SUV,o,GASOLI,3,,6,Tiptronic,4x4,45,14,Preto,8,16621,5
HONDA,FIT,2006,Hatchback,o,GASOLI,1.3,200000,4,Variator,Dianteira,45,17,Preto,2,8467,1
FORD,Escape,2011,SUV,Sim,Hibrido,2.5,168966,4,Automatico,4x4,45,15,Branco,0,3607,1
HONDA,FIT,2014,Hatchback,Sim,Gasoli,1.3,91901,4,Automatico,Dianteira,45,28,Prata,4,11726,2
HYUNDAI,Santa FE,2016,SUV,Sim,diesel,2,160931,4,Automatico,Dianteira,45,20,Branco,4,39493,4
TOYOTA,Prius,2010,Hatchback,Sim,Hibrido,1.8,258909,4,Automatico,Dianteira,45,21,Branco,12,1803,2
HYUNDAI,Sota,2013,Sedan,Sim,GASOLI,2.4,216118,4,Automatico,Dianteira,45,4,Cinza,12,549,2
TOYOTA,Camry,2014,Sedan,Sim,Hibrido,2.5,398069,4,Automatico,Dianteira,45,21,Preto,12,,1
LEXUS,RX 350,2007,SUV,Sim,Gasoli,3.5,128500,6,Automatico,4x4,45,25,Prata,12,26657,4
MERCEDESBENZ,E 350,2014,Sedan,Sim,Diesel,3.5,184467,6,Automatico,Traseira,45,21,Branco,12,941,1
FORD,Transit,1999,Microonibus,o,Gás tural,4,0,8,Manual,Traseira,23,4,Azul,0,8781,5
OPEL,Vectra,1997,Vagao de carga,o,Gás tural,1.6,350000,4,Manual,Dianteira,45,26,Branco,4,3000,4
LEXUS,RX 450,2013,SUV,Sim,Hibrido,3.5,138038,6,Automatico,Dianteira,45,30,Branco,12,1019,2
HYUNDAI,Santa FE,2016,SUV,Sim,DIESEL,2,76000,4,Automatico,Dianteira,45,6,Branco,4,59464,2
TOYOTA,CHR,2018,SUV,Sim,Gasoli,2,,4,Automatico,Dianteira,45,6,Branco,12,549,3
HYUNDAI,Elantra,2016,Sedan,Sim,gasoli,1.8,121840,4,Automatico,Dianteira,45,2,Azul,12,7683,1
HYUNDAI,Elantra,2016,Sedan,Sim,Gasoli,1.8,54317,4,Automatico,Dianteira,45,6,Branco,4,28382,1
HYUNDAI,Sota,2006,Sedan,Sim,GASOLI,3.3,295059,6,Automatico,Traseira,45,18,Azul,12,549,3
LEXUS,RX 400,2008,SUV,Sim,Hibrido,3.5,364523,6,Automatico,4x4,45,30,Preto,12,941,4
HYUNDAI,Elantra,2012,Sedan,Sim,Gasol.,1.6,112645,4,Automatico,Dianteira,45,26,Prata,4,18826,5
TOYOTA,Camry,2017,Sedan,Sim,Gasoli,2.5,39709,4,Automatico,Dianteira,45,3,Preto,12,17562,5
FORD,Transit,2001,Microonibus,o,DIESEL,2.0 Turbo,230000,4,Manual,Dianteira,23,13,Branco,0,7840,5
OPEL,Vectra,1995,Sedan,o,GASOLI,1.8,0,4,Automatico,Dianteira,45,13,Verde,4,4704,4
MERCEDESBENZ,E 220,2006,Sedan,Sim,Diesel,2.2 Turbo,,4,Tiptronic,Traseira,45,3,Preto,8,20385,2
LEXUS,GX 470,2008,SUV,Sim,Gasoli,4.7,0,8,Automatico,4x4,45,23,Branco,0,,4
TOYOTA,Prius,2008,Sedan,o,Hibrido,1.5,,4,Automatico,Dianteira,45,27,Branco,8,30,3
HYUNDAI,Elantra,2011,Sedan,Sim,Gasoli,1.6,158787,4,Automatico,Dianteira,45,14,Prata,4,14454,2
TOYOTA,Highlander,2009,SUV,Sim,Hibrido,3.3,420550,6,Automatico,4x4,45,5,Azul,12,12074,1
